Especie,Num Boleto,Ticker,Tipo,Concertacion,Liquidacion,Cantidad,Precio,Bruto,Costos Mercado,Arancel,Neto,Moneda
"YPF S.A. ESCRIT. ""D"" 1 VOTO",10513414,YPFD,COMPRA,2025-10-27,2025-10-27,57,34.74649123,1980.55,1787.76,14298.13,1991.33,Dólares
"YPF S.A. ESCRIT. ""D"" 1 VOTO",10517516,YPFD,COMPRA,2025-10-27,2025-10-27,59,34.78288136,2052.19,1852.43,14821.68,2063.37,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,10394848,AL30,COMPRA,2025-10-23,2025-10-23,2728,0.5477,1494.13,55.62,8904.22,1500.15,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,10394849,AL30,VENTA,2025-10-23,2025-10-23,2728,859,2343352,58.58,9373.41,2333920.01,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,9170918,AL30,COMPRA,2025-09-24,2025-09-24,8594,0.581726344,4999.36,171.1,27380,5019.48,Dólares
BONTES $ A DESC AJ CER V15/12/26,9071626,TZXD6,COMPRA,2025-09-22,2025-09-23,2980100,1.7145,5109381.45,127.73,20437.53,5129946.71,Pesos
BONOS REP. ARG. U$S STEP UP V.09/07/35,8901968,GD35,VENTA,2025-09-18,2025-09-18,8435,763.1670421,6437314,160.93,25749.26,6411403.81,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,8901967,AL30,VENTA,2025-09-18,2025-09-18,10000,722.5,7225000,180.63,28900,7195919.37,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,8901966,AL30,COMPRA,2025-09-18,2025-09-18,21964,720,15814080,395.35,63256.32,15877731.67,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,8908004,AL30,VENTA,2025-09-18,2025-09-18,32705,0.47919717,15672.14,577.71,92436.405,15609.06,Dólares
"T. DE GAS DEL SUR ESC. ""B"" 1 V.",8901965,TGSU2,VENTA,2025-09-18,2025-09-18,384,6455,2478720,2099.48,11997,2464623.52,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,8405773,AL30,VENTA,2025-09-08,2025-09-08,4029,744.3560437,2999010.5,74.98,11996.04,2986939.48,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,8405772,AL30,COMPRA,2025-09-08,2025-09-08,9462,0.5162,4884.28,165.45,26476.7,4903.94,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,6814534,AL30,VENTA,2025-08-01,2025-08-01,7572,808.5119519,6122052.5,153.05,24488.21,6097411.24,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,6814533,AL30,COMPRA,2025-08-01,2025-08-01,7572,0.5949,4504.58,154.73,24759.48,4522.71,US Dollar (Cable)
BONTES $ A DESC AJ CER V15/12/26,6842878,TZXD6,COMPRA,2025-08-01,2025-08-04,3252568,1.870939189,6085356.94,152.13,24341.43,6109850.5,Pesos
Apertura Colocadora Contado,6842876,,APCOLCON,2025-08-01,2025-08-01,0,,6096721.25,0,0,6096721.25,Pesos
Apertura Colocadora Futuro,6842877,,APCOLFUT,2025-08-01,2025-08-04,0,27.18,6110341.16,110.9,492.91,6109737.35,Pesos
BONO TESORO NACI CAP V.30/06/26 $ CG,6323328,T30J6,COMPRA,2025-07-21,2025-07-22,9897185,1.037,10263380.85,256.58,41053.52,10304690.95,Pesos
